Time,Pressure,Temperature,Light,Sound
s,kPa,°C,lx,dBA
,,,,
0,96.8,10.9,81,41.5
0.96,96.8,10.8,88,40
1.92,96.8,10.8,107,54.8
2.88,96.7,10.8,120,58.7
3.84,96.8,10.8,123,67.9
4.8,96.8,10.8,116,68
5.76,96.8,10.8,117,72.4
6.72,96.8,10.8,108,57.1
7.68,96.8,10.8,110,40
8.64,96.7,10.8,112,76.7
9.6,96.8,10.8,111,83.9
10.56,96.8,10.8,113,40.6
11.52,96.7,10.8,116,51.2
12.48,96.8,10.8,117,74.7
13.44,96.8,10.8,119,63.7
14.4,96.8,10.8,101,42.1
15.36,96.8,10.8,118,58
16.32,96.8,10.8,121,74.9
17.28,96.8,10.8,134,40
18.24,96.8,10.8,136,57.1
19.2,96.8,10.8,135,75.4
20.16,96.8,10.8,122,49.8
21.12,96.8,10.8,95,66.1
22.08,96.8,10.8,68,67.2
23.04,96.7,10.8,50,66.4
24,96.8,10.8,87,83.3
24.96,96.8,10.8,99,40
25.92,96.8,10.8,99,78.9
26.88,96.8,10.8,105,73.9
27.84,96.8,10.8,115,63.9
28.8,96.8,10.8,122,42.3
29.76,96.8,10.8,131,69.2
30.72,96.8,10.8,135,75.9
31.68,96.8,10.8,136,75.2
32.64,96.8,10.8,131,40
33.6,96.8,10.8,107,64.7
34.56,96.8,10.8,81,79.9
35.52,96.8,10.8,79,74.2
36.48,96.8,10.8,84,67.8
37.44,96.8,10.8,105,72
38.4,96.8,10.8,119,58.6
39.36,96.7,10.8,133,68.5
40.32,96.8,10.8,135,65.1
41.28,96.8,10.8,128,73.9
42.24,96.8,10.8,124,42.9
43.2,96.8,10.8,133,63.2
44.16,96.8,10.8,131,64.1
45.12,96.8,10.8,132,40
46.08,96.8,10.8,126,40
47.04,96.8,10.8,107,65.6
48,96.8,10.8,101,67.1
48.96,96.8,10.8,91,66.7
49.92,96.8,10.8,95,72.1
50.88,96.8,10.8,111,54.8
51.84,96.8,10.8,123,40
52.8,96.8,10.8,111,76.2
53.76,96.8,10.8,102,71
54.72,96.8,10.8,89,40.5
55.68,96.8,10.8,87,83.4
56.64,96.8,10.8,91,43.3
57.6,96.8,10.8,97,54.7
58.56,96.8,10.8,101,53.9
59.52,96.8,10.8,103,76.1
60.48,96.8,10.8,60,67
61.44,96.8,10.8,11,59.4
62.4,96.8,10.8,5,62.2
63.36,96.8,10.8,4,71
64.32,96.8,10.8,4,42.3
65.28,96.8,10.8,4,77.6
66.24,96.8,10.8,12,78.5
67.2,96.8,10.8,91,79.2
68.16,96.8,10.8,105,77.7
69.12,96.8,10.8,104,45.2
70.08,96.8,10.8,65,67.4
71.04,96.8,10.8,48,47.2
72,96.8,10.8,47,40
72.96,96.8,10.8,46,65
73.92,96.8,10.8,47,42.6
74.88,96.8,10.8,92,69.7
75.84,96.8,10.8,114,40
76.8,96.8,10.8,113,71.9
77.76,96.8,10.8,104,40
78.72,96.8,10.8,102,58.1
79.68,96.8,10.8,102,69.5
80.64,96.8,10.8,103,71.4
81.6,96.8,10.8,75,86.7
82.56,96.8,10.8,84,40
83.52,96.8,10.8,115,57.5
84.48,96.8,10.8,120,67.7
85.44,96.8,10.8,119,63.8
86.4,96.8,10.8,132,40
87.36,96.8,10.8,135,69.8
88.32,96.8,10.8,136,46.7
89.28,96.8,10.8,136,62.6
90.24,96.8,10.8,136,65.4
91.2,96.8,10.8,135,45.4
92.16,96.8,10.8,128,40
